datum;s2_datenverlust_%;s1_otsu_dB;s1_status;ndwi_otsu;ndwi_status;M5_quelle;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;M1_delta_km2;M2_delta_km2;M3_delta_km2;M4_delta_km2;M5_delta_km2;M4_delta_pct;M5_delta_pct
2019-02;4,5;-22,0;ok;0,266;ok;S2+S1;74,266;59,458;58,544;75,179;62,745;1,0844;3,5773;3,4323;1,1395;2,9761;1,5;4,7
2019-03;1,7;-23,08;ok;0,577;unplausibel;S1;50,296;40,84;28,07;63,066;50,296;25,4025;7,0805;14,7681;15,408;25,4025;24,4;50,5
2019-04;0,2;-20,73;ok;0,421;ok;S2+S1;75,272;62,764;62,463;75,572;62,784;0,7848;3,0131;2,9843;0,7876;3,0164;1,0;4,8
2019-05;0,7;-20,21;ok;0,446;ok;S2+S1;75,181;74,109;73,55;75,74;74,464;0,7893;1,4281;1,4115;0,7818;1,378;1,0;1,9
2019-06;0,1;-20,1;ok;0,246;ok;S2+S1;74,924;75,609;74,795;75,738;75,62;0,7913;0,7981;0,8124;0,7709;0,7967;1,0;1,1
2019-07;0,7;-20,35;ok;0,259;ok;S2+S1;74,567;74,347;73,74;75,173;74,722;0,8376;0,9585;0,9778;0,8074;0,8566;1,1;1,1
2019-08;0,2;-20,15;ok;0,412;ok;S2+S1;74,714;17,246;17,053;74,906;17,28;0,8417;2,1021;2,0745;0,8491;2,1134;1,1;12,2
2019-09;0,0;-19,85;ok;0,371;ok;S2+S1;74,725;53,015;52,751;74,989;53,016;0,8337;4,4738;4,4332;0,8381;4,4727;1,1;8,4
2019-10;0,0;-19,95;ok;0,515;unplausibel;S1;74,846;47,698;47,535;75,01;74,846;0,8035;6,0781;6,0616;0,7991;0,8035;1,1;1,1
2019-11;8,0;-20,09;ok;0,13;ok;S2+S1;74,91;24,447;24,277;75,08;30,446;0,7939;5,5864;5,5549;0,8005;6,1539;1,1;20,2
2019-12;41,8;-19,51;ok;0,363;ok;S2+S1;74,903;18,047;17,758;75,192;50,208;0,8164;12,0286;11,8909;0,8573;6,6362;1,1;13,2
2020-01;0,4;-20,92;ok;0,098;ok;S2+S1;74,69;39,319;38,646;75,363;39,644;0,8063;19,4787;19,268;0,8821;19,6957;1,2;49,7
2020-02;0,1;-20,33;ok;0,58;unplausibel;S1;75,181;56,085;55,845;75,42;75,181;0,8641;8,9807;9,0021;0,8094;0,8641;1,1;1,1
2020-03;0,0;-20,1;ok;0,527;unplausibel;S1;75,163;39,216;38,962;75,417;75,163;0,8849;9,4605;9,4448;0,8621;0,8849;1,1;1,2
2020-04;0,1;-21,28;ok;0,532;unplausibel;S1;74,725;20,557;20,296;74,987;74,725;0,8101;3,9146;3,8758;0,8253;0,8101;1,1;1,1
2020-05;0,1;-20,29;ok;0,505;unplausibel;S1;74,685;24,173;23,826;75,032;74,685;0,8129;4,4069;4,3632;0,8216;0,8129;1,1;1,1
2020-06;0,1;-19,47;ok;0,198;ok;S2+S1;74,82;75,045;74,365;75,5;75,077;0,8058;0,8724;0,8808;0,7862;0,8871;1,0;1,2
