datum;s2_datenverlust_%;s1_otsu_dB;ndwi_otsu;M1_S1_K0_km2;M2_S2_NDWI_km2;M3_AND_km2;M4_OR_km2;M5_WEIGHTED_km2;Pegelstand
2021-12;52,5;-20,06;0,465;74,633;49,544;49,279;74,897;74,633;517,9190323
2022-01;72,7;-19,62;-0,152;75,079;37,812;36,723;76,168;75,079;518,0887097
2022-02;51,8;-20,75;0,485;34,469;47,566;19,92;62,115;34,469;518,0225
2022-03;51,1;-21,32;0,216;74,837;75,422;74,67;75,59;74,837;518,0025806
2022-04;53,5;-18,99;0,2;75,275;68,548;67,95;75,873;75,275;518,2023333
2022-05;51,2;-20,41;0,2;74,835;75,407;74,472;75,77;74,835;518,1848387
2022-06;51,2;-18,84;0,152;74,962;74,703;74,039;75,625;74,962;518,255
2022-07;51,2;-19,96;0,171;74,724;75,297;74,505;75,516;74,724;518,1716129
2022-08;51,2;-20,13;0,232;74,617;75,125;74,39;75,351;74,617;518,0896774
2022-09;59,3;-19,63;0,373;74,927;35,837;35,697;75,066;74,927;518,1886667
2022-10;52,2;-20,5;0,23;74,872;34,936;34,624;75,184;74,872;518,3448387
2022-11;85,1;-19,8;0,195;74,826;1,935;1,905;74,856;74,826;518,0486667
2022-12;100;-19,99;0,2;74,822;0;0;74,822;74,822;517,9680645
2023-01;92,9;-19,3;0,031;74,871;8,515;8,452;74,935;74,871;517,9490323
2023-02;51,1;-20,09;0,252;74,687;69,754;69,442;75;74,687;517,88
2023-03;73,1;-19,4;0,242;75,009;17,2;17,116;75,094;75,009;518,0096774
2023-04;98;-20,67;0,028;75,176;1,219;1,171;75,225;75,176;518,3203333
2023-05;52,7;-19,23;0,404;75,201;43,845;43,593;75,452;75,201;518,6719355
2023-06;51,2;-18,95;0,418;74,805;25,082;24,623;75,264;74,805;518,1043333
2023-07;51,2;-19,12;0,232;74,547;74,424;73,899;75,072;74,547;517,9422581
2023-08;51,2;-18,93;0,188;74,897;75,27;74,61;75,556;74,897;518,206129
2023-09;51,1;-19,77;0,129;74,811;75,306;74,583;75,534;74,811;518,149
